title,url,description,author,masthead,lang,format,date
Intervista,https://youtu.be/LFKmRWEqCTk?t=620,video intervista di Natale Ciappina a Tommi,Natale Ciappina,mag zine,it,video,2021-03-12
LeAlternative,https://www.lealternative.net/2021/04/02/quit-social-media/,"articolo dedicato al sito su <a href=""https://lealternative.net"" target=""_blank"" title=""Quit Social Media - LeAlternative"">LeAlternative</a>",skariko,LeAlternative,it,article,2021-04-02
